Category (English),Category (Japanese),Activity (English),Activity (Japanese)
Active Directory,Active Directory,Create User,ユーザーの作成
Active Directory,Active Directory,Modify User,ユーザーの変更
Active Directory,Active Directory,Create Group,グループの作成
Active Directory,Active Directory,Modify Group,グループの変更
Active Directory,Active Directory,Get Group Members,グループメンバーの取得
Active Directory,Active Directory,List Object Paths,リストオブジェクトのパス
Active Directory,Active Directory,Get Object Path,オブジェクト パスの取得
Active Directory,Active Directory,Get Object Dataset,オブジェクト データセットの取得
Active Directory,Active Directory,Create Object,オブジェクトの作成
Active Directory,Active Directory,Delete Object,オブジェクトの削除
Active Directory,Active Directory,Move Object,オブジェクトの移動
Active Directory,Active Directory,Rename Object,オブジェクトの名前を変更
Active Directory,Active Directory,Get Object Property,オブジェクト プロパティの取得
Active Directory,Active Directory,Set Object Property,オブジェクト プロパティの設定
Amazon DynamoDB,Amazon DynamoDB,Create Session,セッションの作成
Amazon DynamoDB,Amazon DynamoDB,End Session,セッションの終了
Amazon DynamoDB,Amazon DynamoDB,List Tables,テーブルのリスト化
Amazon DynamoDB,Amazon DynamoDB,Create Table,テーブルの作成
Amazon DynamoDB,Amazon DynamoDB,Update Table,テーブルの更新
Amazon DynamoDB,Amazon DynamoDB,Delete Table,テーブルの削除
Amazon DynamoDB,Amazon DynamoDB,Describe Table,テーブルの記述
Amazon DynamoDB,Amazon DynamoDB,Query,クエリ
Amazon DynamoDB,Amazon DynamoDB,Scan,スキャン
Amazon DynamoDB,Amazon DynamoDB,Create Item,アイテムの作成
Amazon DynamoDB,Amazon DynamoDB,Delete Item,アイテムの削除
Amazon DynamoDB,Amazon DynamoDB,Get Item,アイテムの取得
Amazon EC2,Amazon EC2,Create Session,セッションの作成
Amazon EC2,Amazon EC2,End Session,セッションの終了
Amazon EC2,Amazon EC2,Launch Instance,インスタンスの起動
Amazon EC2,Amazon EC2,Start Instance,インスタンスの開始
Amazon EC2,Amazon EC2,Stop Instance,インスタンスの停止
Amazon EC2,Amazon EC2,Terminate Instance,インスタンスの終了
Amazon EC2,Amazon EC2,Reboot Instance,インスタンスの再起動
Amazon EC2,Amazon EC2,List Running Instances,実行中インスタンスのリスト化
Amazon EC2,Amazon EC2,List Images,画像のリスト化
Amazon EC2,Amazon EC2,Create Volume,ボリュームの作成
Amazon EC2,Amazon EC2,Delete Volume,ボリュームの削除
Amazon EC2,Amazon EC2,List Volumes,ボリュームのリスト化
Amazon EC2,Amazon EC2,Attach Volume,ボリュームのアタッチ
Amazon EC2,Amazon EC2,Detach Volume,ボリュームのデタッチ
Amazon EC2,Amazon EC2,Create Snapshot,スナップショットの作成
Amazon EC2,Amazon EC2,Delete Snapshot,スナップショットの削除
Amazon EC2,Amazon EC2,List Snapshots,スナップショットのリスト化
Amazon EC2,Amazon EC2,Create Security Group,セキュリティグループの作成
Amazon EC2,Amazon EC2,Delete Security Group,セキュリティグループの削除
Amazon EC2,Amazon EC2,List Security Groups,セキュリティグループのリスト化
Amazon EC2,Amazon EC2,Authorize Security Group,セキュリティグループの認証
Amazon EC2,Amazon EC2,Revoke Security Group,セキュリティグループの取り消し
Amazon EC2,Amazon EC2,Create Key Pair,キーペアの作成
Amazon EC2,Amazon EC2,Delete Key Pair,キーペアの削除
Amazon EC2,Amazon EC2,List Key Pairs,キーペアのリスト化
Amazon EC2,Amazon EC2,Allocate Address,アドレスの割当て
Amazon EC2,Amazon EC2,Release Address,アドレスの解放
Amazon EC2,Amazon EC2,List Addresses,アドレスのリスト化
Amazon EC2,Amazon EC2,Associate Address,アドレスの関連付け
Amazon EC2,Amazon EC2,Disassociate Address,アドレス関連付け解除
Amazon RDS,Amazon RDS,Create Session,セッションの作成
Amazon RDS,Amazon RDS,End Session,セッションの終了
Amazon RDS,Amazon RDS,Create Instance,インスタンスの作成
Amazon RDS,Amazon RDS,Delete Instance,インスタンスの削除
Amazon RDS,Amazon RDS,Modify Instance,インスタンスの変更
Amazon RDS,Amazon RDS,Reboot Instance,インスタンスの再起動
Amazon RDS,Amazon RDS,List Instances,インスタンスのリスト化
Amazon RDS,Amazon RDS,Create Snapshot,スナップショットの作成
Amazon RDS,Amazon RDS,Delete Snapshot,スナップショットの削除
Amazon RDS,Amazon RDS,List Snapshots,スナップショットのリスト化
Amazon RDS,Amazon RDS,Create Security Group,セキュリティグループの作成
Amazon RDS,Amazon RDS,Delete Security Group,セキュリティグループの削除
Amazon RDS,Amazon RDS,Authorize Security Group,セキュリティグループの認証
Amazon RDS,Amazon RDS,Revoke Security Group,セキュリティグループの取消し
Amazon RDS,Amazon RDS,List Security Groups,セキュリティグループのリスト化
Amazon S3,Amazon S3,Create Session,セッションの作成
Amazon S3,Amazon S3,End Session,セッションの終了
Amazon S3,Amazon S3,Create Bucket,バケットの作成
Amazon S3,Amazon S3,Delete Bucket,バケットの削除
Amazon S3,Amazon S3,List Buckets,バケットのリスト化
Amazon S3,Amazon S3,Get Bucket Location,バケット ロケーションの取得
Amazon S3,Amazon S3,Get Bucket Versioning,バケット バージョニングの取得
Amazon S3,Amazon S3,Set Bucket Versioning,バケット バージョニングの設定
Amazon S3,Amazon S3,Put Object,オブジェクトの配置
Amazon S3,Amazon S3,Get Object,オブジェクトの取得
Amazon S3,Amazon S3,Copy Object,オブジェクトのコピー
Amazon S3,Amazon S3,Delete Object,オブジェクトの削除
Amazon S3,Amazon S3,List Objects,オブジェクトのリスト化
Amazon S3,Amazon S3,List Versions,バージョンのリスト化
Amazon S3,Amazon S3,Get Presigned URL,署名付き URL の取得
Amazon S3,Amazon S3,Get ACL,ACL の取得
Amazon S3,Amazon S3,Set ACL,ACL の設定
Amazon SES,Amazon SES,Create Session,セッションの作成
Amazon SES,Amazon SES,End Session,セッションの終了
Amazon SES,Amazon SES,Send Email,メールの送信
Amazon SES,Amazon SES,Send Email Statistics,メールの統計情報の送信
Amazon SES,Amazon SES,List IDs,ID のリスト化
Amazon SES,Amazon SES,Verify ID,ID の確認
Amazon SES,Amazon SES,Delete ID,ID の削除
Amazon SQS,Amazon SQS,Create Session,セッションの作成
Amazon SQS,Amazon SQS,End Session,セッションの終了
Amazon SQS,Amazon SQS,Create Queue,キューの作成
Amazon SQS,Amazon SQS,List Queues,キューのリスト化
Amazon SQS,Amazon SQS,Delete Queue,キューの削除
Amazon SQS,Amazon SQS,Get Queue Attributes,キュー属性の取得
Amazon SQS,Amazon SQS,Set Queue Attributes,キュー属性の設定
Amazon SQS,Amazon SQS,Send Message,メッセージの送信
Amazon SQS,Amazon SQS,Receive Message,メッセージの受信
Amazon SQS,Amazon SQS,Delete Message,メッセージの削除
Amazon SQS,Amazon SQS,Change Message Visibility,メッセージの可視性の変更
Amazon SQS,Amazon SQS,Add Permission,権限の追加
Amazon SQS,Amazon SQS,Remove Permission,権限の削除
Array,配列,Create,作成
Array,配列,Set,セット
Array,配列,Resize,リサイズ
AutoMate,AutoMate,Backup AutoMate,AutoMate のバックアップ
AutoMate,AutoMate,Shutdown AutoMate,AutoMate のシャットダウン
AutoMate,AutoMate,Write to Log,ログへの書込み
Azure Storage,Azure Storage,Create Session,セッションの作成
Azure Storage,Azure Storage,End Session,セッションの終了
Azure Storage,Azure Storage,List Containers,コンテナーのリスト化
Azure Storage,Azure Storage,Create Container,コンテナーの作成
Azure Storage,Azure Storage,Delete Container,コンテナーの削除
Azure Storage,Azure Storage,List Blobs,BLOB のリスト化
Azure Storage,Azure Storage,Put Blob,BLOB の配置
Azure Storage,Azure Storage,Get Blob,BLOB の取得
Azure Storage,Azure Storage,Copy Blob,BLOB のコピー
Azure Storage,Azure Storage,Rename Blob,BLOB 名の変更
Azure Storage,Azure Storage,Snapshot Blob,BLOB スナップショットの作成
Azure Storage,Azure Storage,Set Blob Properties,BLOB プロパティの設定
Azure Storage,Azure Storage,Get Public URL,パブリック URL の取得
Azure Storage,Azure Storage,List Queues,キューのリスト化
Azure Storage,Azure Storage,Create Queue,キューの作成
Azure Storage,Azure Storage,Delete Queue,キューの削除
Azure Storage,Azure Storage,Put Message,メッセージの配置
Azure Storage,Azure Storage,Get Single Message,単一メッセージの取得
Azure Storage,Azure Storage,Get All Messages,すべてのメッセージの取得
Azure Storage,Azure Storage,Delete Message,メッセージの削除
Azure Storage,Azure Storage,List Tables,テーブルのリスト化
Azure Storage,Azure Storage,Create Table,テーブルの作成
Azure Storage,Azure Storage,Delete Table,テーブルの削除
Azure Storage,Azure Storage,List Entities,エンティティのリスト化
Azure Storage,Azure Storage,Insert Entity,エンティティの挿入
Azure Storage,Azure Storage,Update Entity,エンティティの更新
Azure Storage,Azure Storage,Delete Specific Entity,特定のエンティティの削除
Azure Storage,Azure Storage,Delete Entity,エンティティの削除
Azure Storage,Azure Storage,Download Entity,エンティティのダウンロード
Azure Storage,Azure Storage,Upload Entity,エンティティのアップロード
BASIC Script,Basic スクリプト,Run Script,スクリプトの実行
Clipboard,クリップボード,Set to Variable,変数へのセット
Clipboard,クリップボード,Set,セット
Clipboard,クリップボード,Clear,クリア
Clipboard,クリップボード,Cut,カット
Clipboard,クリップボード,Copy,コピー
Clipboard,クリップボード,Paste,貼り付け
Compression,圧縮,Compress,圧縮
Compression,圧縮,Decompress,解凍
Compression,圧縮,Verify,確認
Computer,コンピューター,Lock,ロック
Computer,コンピューター,Log off,ログオフ
Computer,コンピューター,Restart,再起動
Computer,コンピューター,Suspend,サスペンド
Computer,コンピューター,Hibernate,休止状態
Computer,コンピューター,Shut down,シャットダウン
Computer,コンピューター,Display,表示
Computer,コンピューター,Set Date/Time,日付/時刻の設定
Cryptography,暗号化,Encrypt and Sign,暗号化と署名
Cryptography,暗号化,Decrypt and Verify,復号と確認
Cryptography,暗号化,Encrypt,暗号化
Cryptography,暗号化,Decrypt,復号
Cryptography,暗号化,Sign,署名
Cryptography,暗号化,Verify Signature,署名の検証
Cryptography,暗号化,Create,作成
Cryptography,暗号化,Delete,削除
Cryptography,暗号化,Generate Key File,キー ファイルの生成
Database,データベース,Open SQL Connection,SQL 接続を開く
Database,データベース,Close SQL Connection,SQL 接続を閉じる
Database,データベース,SQL Query,SQL クエリ
Database,データベース,Stored Procedure,ストアド プロシージャ
Dataset,データセット,Create,作成
Dataset,データセット,Duplicate,複製
Dataset,データセット,Insert Row,行の挿入
Dataset,データセット,Move Row,行の移動
Dataset,データセット,Delete Row,行の削除
Dataset,データセット,Insert Column,列の挿入
Dataset,データセット,Rename Column,列の名前変更
Dataset,データセット,Move Column,列の移動
Dataset,データセット,Delete Column,列の削除
DDE,DDE,Execute,実行
DDE,DDE,Poke,ポーク
DDE,DDE,Request,要求
Dialog,(ダイアログ),Input,入力
Dialog,(ダイアログ),Message,メッセージ
Dialog,(ダイアログ),Open File,ファイルを開く
Dialog,(ダイアログ),Save File,ファイルの保存
Dialog,(ダイアログ),Browse Folder,フォルダの参照
Dialog,(ダイアログ),Select,選択
DLL,DLL,Run Function,関数の実行
Dynamics 365,Dynamics 365,Create Session,セッションの作成
Dynamics 365,Dynamics 365,End Session,セッションの終了
Dynamics 365,Dynamics 365,Create Entity,エンティティの作成
Dynamics 365,Dynamics 365,Get Entity,エンティティの取得
Dynamics 365,Dynamics 365,List Entities,エンティティのリスト化
Dynamics 365,Dynamics 365,Update Entity,エンティティの更新
Dynamics 365,Dynamics 365,Delete Specific Entity,特定のエンティティの削除
Dynamics 365,Dynamics 365,List Attachments,添付ファイルのリスト化
Dynamics 365,Dynamics 365,Upload Attachment,添付ファイルのアップロード
Dynamics 365,Dynamics 365,Download Attachment,添付ファイルのダウンロード
Dynamics 365,Dynamics 365,Delete Attachment,添付ファイルの削除
Dynamics 365,Dynamics 365,Start Workflow,ワークフローの開始
Dynamics 365,Dynamics 365,Enable/Disable Auditing,監査の有効化/無効化
Dynamics 365,Dynamics 365,Get Audit Records,監査レコードの取得
Dynamics CRM,Dynamics CRM,Create Session,セッションの作成
Dynamics CRM,Dynamics CRM,End Session,セッションの終了
Dynamics CRM,Dynamics CRM,List Entities,エンティティのリスト化
Dynamics CRM,Dynamics CRM,Create Entity,エンティティの作成
Dynamics CRM,Dynamics CRM,Update Entity,エンティティの更新
Dynamics CRM,Dynamics CRM,Delete Entity,エンティティの削除
Dynamics CRM,Dynamics CRM,Get Entity,エンティティの取得
Dynamics CRM,Dynamics CRM,Upload Attachment,添付ファイルのアップロード
Dynamics CRM,Dynamics CRM,Download Attachment,添付ファイルのダウンロード
Dynamics CRM,Dynamics CRM,Start Workflow,ワークフローの開始
Dynamics CRM,Dynamics CRM,Enable/Disable Auditing,監査の有効化/無効化
Dynamics CRM,Dynamics CRM,Get Audit Records,監査レコードの取得
Email,Email,Create Session,セッションの作成
Email,Email,Send Message,メッセージの送信
Email,Email,Get Message,メッセージの取得
Email,Email,Archive Message,メッセージのアーカイブ
Email,Email,Delete Message,メッセージの削除
Email,Email,Delete Single Message,単一メッセージの削除
Environment Variables,環境変数,Get Environment Variable,環境変数の取得
Environment Variables,環境変数,List Environment Variables,環境変数のリスト化
Environment Variables,環境変数,Set Environment Variable,環境変数の設定
Environment Variables,環境変数,Append,追加
Environment Variables,環境変数,Delete Environment Variable,環境変数の削除
Event Log,イベント ログ,Write to Event Log,イベントログへの書き込む
Excel,Excel,Open/Create Workbook,ブックを開く/作成する
Excel,Excel,Close Workbook,ブックを閉じる
Excel,Excel,Add Worksheet,ワークシートの追加
Excel,Excel,Activate Worksheet,ワークシートをアクティブにする
Excel,Excel,Get Active Worksheet,アクティブなシートの取得
Excel,Excel,Select Cells,セルの選択
Excel,Excel,Get Selected Cell Location,選択セルの場所の取得
Excel,Excel,Get Cells,セルの取得
Excel,Excel,Set Cells,セルの設定
Excel,Excel,Run Macro,マクロの実行
Exchange,Exchange,Create Session,セッションの作成
Exchange,Exchange,End Session,セッションの終了
Exchange,Exchange,Create Object,オブジェクトの作成
Exchange,Exchange,Get Object,オブジェクトの取得
Exchange,Exchange,Modify Object,オブジェクトの変更
Exchange,Exchange,Delete Single Object,単一オブジェクトの削除
Exchange,Exchange,Delete Object,オブジェクトの削除
Exchange,Exchange,Move Single Object,単一オブジェクトの移動
Exchange,Exchange,Move Object,オブジェクトの移動
File System,ファイル システム,Copy,コピー
File System,ファイル システム,Move,移動
File System,ファイル システム,Delete,削除
File System,ファイル システム,Rename,名前の変更
File System,ファイル システム,Get Information,情報の取得
File System,ファイル システム,Update Information,情報の更新
File System,ファイル システム,Empty Recycle Bin,ごみ箱を空にする
File System,ファイル システム,Read from File,ファイルからの読込み
File System,ファイル システム,Write to File,ファイルへの書込み
File System,ファイル システム,Split File,ファイルの分割
File System,ファイル システム,Join File,ファイルの結合
File System,ファイル システム,Dataset to CSV,データセットから CSV
File System,ファイル システム,CSV to Dataset,CSV からデータセット
File System,ファイル システム,Base64 Encode/Decode,Base64 エンコード/デコード
File System,ファイル システム,Create Folder,フォルダーの作成
File System,ファイル システム,Change Folder,フォルダーの変更
File System,ファイル システム,Synchronize Folders,フォルダーの同期
FTP,FTP,Log On,ログイン
FTP,FTP,Log Off,ログオフ
FTP,FTP,Download File,ファイルのダウンロード
FTP,FTP,Upload File,ファイルのアップロード
FTP,FTP,Delete File,ファイルの削除
FTP,FTP,Rename File,ファイル名の変更
FTP,FTP,FXP,
FTP,FTP,Advanced,詳細
FTP,FTP,Create Folder,フォルダーの作成
FTP,FTP,Change Folder,フォルダーの変更
FTP,FTP,Remove Folder,フォルダーの消去
FTP,FTP,Synchronize Folders,フォルダーの同期
HTTP,HTTP,Definition,定義
HTTP,HTTP,Clear,クリア
HTTP,HTTP,Get,
HTTP,HTTP,Post,
HTTP,HTTP,Put,
HTTP,HTTP,Patch,
HTTP,HTTP,Delete,
HTTP,HTTP,Head,
HTTP,HTTP,Trace,
HTTP,HTTP,Options,
If,If,Text,テキスト
If,If,Process,プロセス
If,If,LDAP Object,LDAP オブジェクト
If,If,File Exists,ファイルの存在
If,If,Folder Exists,フォルダーの存在
If,If,File Compare,ファイルの比較
If,If,Else,
If,If,End If,
Image,画像,Crop,クロップ
